11.1,11.1,11.1,11.4,11.4,11.1,10.5,10.2,10.5,10.5,11.1,11.4,10.2,10.8,10.8,11.4,11.4,10.8,10.5,11.4,10.5,11.4,11.4,11.7,11.7,12,11.4,12.3,10.8,12
11.1,11.4,11.4,11.1,11.4,10.8,10.5,10.5,11.1,10.5,11.1,11.1,11.1,10.5,10.8,11.7,11.1,11.1,10.2,11.4,10.5,11.4,11.7,11.7,11.4,12,11.7,12.3,10.8,11.7
10.2,10.8,10.8,11.1,11.4,11.1,10.2,11.7,10.8,10.2,11.1,11.4,11.1,10.5,11.1,11.4,10.8,11.1,10.2,11.7,10.2,11.4,11.7,11.1,11.7,11.7,12,12,10.8,10.8
10.2,11.1,11.4,11.1,11.4,10.8,10.8,12.3,11.4,10.5,11.1,10.5,10.2,10.8,10.8,11.4,10.8,10.5,10.2,11.4,10.5,11.4,11.4,10.8,11.7,12,12,12,10.8,11.7
10.8,10.8,11.1,11.1,10.5,10.8,11.1,12.6,10.5,10.5,11.1,11.1,10.8,10.5,10.8,11.4,11.1,11.1,11.7,11.4,10.5,11.4,11.7,10.5,12,11.7,11.7,12,10.8,11.4
10.8,11.1,10.8,11.1,10.8,10.8,11.7,12.3,10.5,10.5,11.4,11.4,11.7,10.8,10.8,11.7,10.8,11.1,10.8,11.4,10.5,11.4,11.4,10.8,11.4,12,11.1,12,10.8,11.7
10.8,11.1,11.1,11.1,11.4,11.1,11.1,12,10.2,10.2,11.1,11.4,10.2,11.4,10.8,11.1,11.1,11.1,11.1,11.7,10.8,11.4,11.1,11.7,11.7,12,12,12.3,11.7,11.4
11.1,10.8,11.1,11.1,11.1,9.9,10.2,11.4,10.5,10.5,11.1,11.1,10.5,10.8,10.8,10.8,11.1,11.1,10.5,11.4,10.8,11.4,11.4,11.7,11.4,11.7,11.7,12.3,11.4,11.4
11.1,11.1,10.8,11.1,10.8,10.5,11.7,11.4,10.5,10.5,11.1,10.8,10.8,10.5,11.1,10.2,11.1,10.8,11.1,11.4,11.4,11.4,11.7,11.1,11.7,12,12,12,10.8,11.4
10.8,11.1,11.1,11.1,10.5,10.8,12,11.7,10.5,10.2,11.4,11.1,11.1,10.5,10.8,10.5,10.8,11.1,10.2,11.4,11.1,11.4,11.4,10.8,11.4,11.7,12,12.3,10.8,11.7
